municipality,population
Stanstead Plain,0
St. Anthony,2049
Stanton,0
Stanwood,0
Stapledon,0
Staples,0
Staples Brook,0
Star,0
Star City,0
Star Corners,0
Stardale,0
Starks Corners,0
Starkville,0
Starrat,0
Starratt-Olsen,0
Starr's Beach,0
Starrs Point,0
Starrview Acres,0
St. Augustine,0
Stave Falls,0
Stavely,0
Stayner,0
Staynerville,0
St. Benedict,0
St. Benoni,0
St. Bernard,0
St-Bernardin,0
St. Bernard's-Jacques Fontaine,0
St. Boswells,0
St. Brendan's,0
St. Bride's,0
St. Brieux,0
St. Catharines,136803
St. Catherines River,0
St.-Charles,0
St. Christopher,0
St. Clair Beach,0
St. Claire Gardens,0
St. Claude,600
St. Clements,820
St. Columban,0
St. Croix,0
St. Croix Cove,0
St. David Ridge,0
St. Davids,0
Steady Brook,0
Ste. Agathe,0
Steam Mill Village,0
Ste. Anne,2891
Ste-Anne-de-Prescott,0
Ste. Anne du Ruisseau,0
Steeles Hill,0
Steelhead,0
Steelman,0
Steen,0
Steen River,0
Steep Creek,0
Steep Rock,0
Steep Rock Lake,0
Steevescote,0
Steeves Mills,0
Steeves Mountain,0
Steeves Settlement,0
Steinbach,15829
Stella,0
Stellako,0
Stellarton,4007
St. Elmo,0
St. Elmo,0
Stenen,0
Stephen,0
Stephens Bay,0
Stephenville,6278
Stephenville Crossing,1183
Stepstone,0
Sterling,0
Ste-Rose-de-Prescott,0
Ste. Rose du Lac,0
Stettler,5494
St. Eugene Mission,0
St. Eustache,0
Stevens,0
Stevenson,0
Stewart,517
Stewart Crossing,0
Stewartdale,0
Stewart Farm,0
Stewart Hall,0
Stewart Heights,0
Stewarton,0
Stewarts Glen,0
Stewarttown,0
Stewart Valley,0
Stewartville,0
Stewiacke,0
Stewiacke Cross Roads,0
Stewiacke East,0
St. Felix,0
St. Francis Harbour,0
St. François Xavier,662
St. George,0
St. George's,0
St. Georges Channel,0
St. Gregor,0
St. Helens,0
St. Hubert Mission,0
Stick Point,0
Stilesville,0
Stillman,0
Stillwater,0
Stillwater,0
Stillwater,0
Stillwater Lake,0
Stinson,0
Stirling,0
Stirling,2030
Stirling,0
Stirling Brook,0
Stirling Falls,0
Stirton,0
Stittsville,0
St. Ives,0
St. Ives,0
St. Jacques-Coomb's Cove,0
St. James Town,0
St. Jean Baptiste,563
St. Joachim,0
St. Johns,0
St. Johns,0
St. Joseph,0
St. Joseph,0
St. Joseph,0
St. Joseph du Moine,0
St. Joseph Mission,0
St. Joseph's,0
St. Laurent,0
St. Lawrence,0
St. Lawrence Woods,0
St-Lazare,0
St. Lewis,0
St. Lina,0
St. Louis,0
St. Louis,0
St. Lunaire-Griquet,603
St. Malo,0
St. Margaret Village,0
St. Martin,0
St. Martins,0
St. Marys,0
St. Marys,7386
St. Mary's,0
St. Marys River,0
St. Michael,0
St. Nicholas,0
Stockholm,0
Stockton,0
Stoco,0
Stoke,0
St. Ola,0
Stonecliffe,0
Stonehenge,0
Stonehurst East,0
Stonehurst West,0
Stoneleigh,0
Stoner,0
Stoneridge,0
Stones Corners,0
Stonewall,4177
Stoneybrook,0
Stoney Creek,0
Stoney Creek,0
Stoneycroft,0
Stoney Island,0
Stoney Point/Pointe-aux-Roches,0
St-Onge,0
Stony Beach,0
Stony Mountain,0
Stony Plain,8939
Stonyridge,0
Stonywood,0
Stop 19,0
Storie,0
Stories Beach,0
Storkson's Corner,0
Stormont,0
Storms Corners,0
Stornoway,0
Stornoway,0
Storthoaks,0
Stouffville,36753
Stoughton,0
St. Patricks Channel,0
St. Paul,5728
St. Pauls,0
St. Pauls,0
St. Pauls,0
St. Pauls Station,0
St. Peter's,0
St. Peters Bay,253
St. Phillips,0
St-Pierre-Jolys,0
St. Pie X,0
Strabane,0
Straders Hill,0
Straiton,0
Strange,0
St. Raphaels,0
Strasbourg,0
Strasburg,0
Stratford,10927
Stratford,31465
Strathadam,0
Strathallan,0
Strathavon,0
Strathburn,0
Strathclair,0
Strathcona,0
Strathcona,0
Strathcona Gardens,0
Strathcona Park,0
Strathlorne,0
Strathlorne Station,0
Strathmore,0
Strathmore,13592
Strathnairn,0
Strathnaver,0
Strathnaver,0
Strathroy,23871
Strawberry Hill,0
Strawberry Vale,0
Streets Ridge,0
Streetsville,0
Strickland,0
Strome,0
Stromness,0
Stronach Mountain,0
Strong,0
Strongfield,0
Strongville,0
Stroud,0
St. Shotts,0
St. Stephen,4415
St. Theresa Point,0
St. Thomas,38909
Stuart Town,0
Stuie,3
Stukely-Sud,0
Stump Lake,0
Sturdies Bay,0
Sturgeon,0
Sturgeon Falls,6939
Sturgeon Heights,0
Sturgeon Point,0
Sturgeon River,0
Sturgis,0
St. Victor,20
St. Vincent's-St. Stephen's-Peter's River,0
St. Walburg,591
Success,0
Sucker Creek Landing,0
Sugarcane,0
Sugar Loaf,0
Sugar Loaf Pond,0
Sullivan,0
Sullivan,0
Sullivan Heights,0
Sulphide,0
Summerfield,0
Summerford,0
Summerhill,0
Summerland,11615
Summers Corners,0
Summerside,14829
Summerside,0
Summerstown,0
Summerstown Station,0
Summerville,0
Summerville,0
Summerville,0
Summerville,0
Summerville Centre,0
Summit Lake,0
Sunbreaker Cove,131
Sunbury,0
Sundance Beach,0
Sunderland,0
Sundown,0
Sundre,2384
Sundridge,0
Sundridge,938
Sunken Lake,0
Sunkist Beach,0
Sunnidale,0
Sunnidale Corners,0
Sunningdale,0
Sunningdale,0
Sunningdale,0
Sunny Acres,0
Sunny Acres West,0
Sunnybrae,0
Sunnybrae,610
Sunny Brae,0
Sunny Brae,0
Sunnybrook,0
Sunnybrook,0
Sunnybrooke,0
Sunny Corner,789
Sunnyside,0
Sunnyside,0
Sunnyside,0
Sunnyside,0
Sunnyside Beach,0
Sunnyslope,0
Sunny Slope,0
Sunnyville,0
Sun Peaks,0
Sunpoke,0
Sunrise Beach,0
Sunrise Beach,0
Sunset Beach,0
Sunset Beach,0
Sunset Beach,0
Sunset Beach,0
Sunset Beach,0
Sunset Beach,0
Sunset Beach,424
Sunset Cove,0
Sunset Park,0
Sunset Point,0
Sunset Prairie,0
Sunset Valley,0
Sunset View,0
Sunset View Beach,74
Sunshine,0
Sunshine,0
Sunshine Bay,0
Sun Valley,0
Sun Valley,0
Sunwapta,0
Suomi,0
Superb,0
Superior Junction,0
Suquash,0
Surettes Island,0
Surrey,0
Surrey,568322
Surrey Centre,0
Sussex Corner,0
Sussex,5298
Sutherland,0
Sutherland,0
Sutherlands River,0
Sutorville,0
Sutton,3906
Sutton,0
Sutton Bay,0
Sutton Junction,0
Sutton West,0
Swan Creek,0
Swan Crossing,0
Swan Hills,1900
Swan Lake,0
Swan River,4198
Swansea,0
Swanson,0
Swartz Bay,0
Swastika,0
Sweaburg,0
Sweeneyville,0
Sweetgrass Landing,0
Sweetland,0
Sweetsburg,0
Sweets Corner,0
Sweets Corners,0
Sweets Corners,0
SW Hill,0
Swift Current,0
Swift Current,16604
Swift Rapids,0
Swindon,0
Swinton Park,0
Switzerville,0
Sydenham,3249
Sydenham,0
Sydney,0
Sydney Forks,0
Sydney River,0
Sykeston,0
Sylvan,0
Sylvan Glen Beach,0
Sylvan Lake,14816
Sylvan Valley,0
Sylvan Valley,0
Sylvester,0
Synton,0
Taber,8163
Table Head,0
Tachie,0
Tacks Beach,0
Tadanac,0
Taft,0
Tahsis,393
Taits Beach,0
Takhini,0
Talbot,0
Talbotville Royal,0
Talmage,0
Talon,0
Tamarac Estates,0
Tamarisk,0
Tam O'Shanter Ridge,0
Tancook Island,0
Tancredia,0
Tangent,0
Tangier,0
Tanglewood,0
Tanguay,0
Tankville,0
Tanners Settlement,0
Tannin,0
Tansley,0
Tansleyville,0
Tantallon,0
Tantallon,0
Tapley,0
Tapleytown,0
Tappen,0
Tarbert,0
Tarbot,0
Tarbotvale,0
Targettville,0
Tar Island,0
Tarnopol,0
Tarrys,0
Tartan,0
Tarzwell,0
Taschereau,0
Tashota,0
Tasiujaq,420
Ta Ta Creek,0
Tatamagouche,0
Tatamagouche Mountain,0
Tate,0
Tate Corners,0
Tatehurst,0
Tatlock,0
Tattons Corner,0
Taunton,0
Tavistock,2955
Tawatinaw,0
Tay Creek,0
Tay Falls,0
Taylor,0
Taylor,1317
Taylor Corners,0
Taylors Road,0
Taylor Village,0
Tay Mills,0
Taymouth,0
Tayside,0
Tay Valley,0
Tchesinkut Lake,0
Tecumseh,23229
Tecumseh,0
Tee Lake,0
Teeswater,0
Tehkummah,0
Telegraph Creek,51
Telford,0
Telfordville,0
Telkwa,1474
Temagami,0
Temagami,0
Temagami North,0
Témiscaming,1854
Temiskaming Shores,10442
Temperanceville,0
Temple,0
Temple Hill,0
Templeton,0
Tempo,0
Tenaga,0
Tenby Bay,0
Ten Mile Lake,0
Tennants Cove,0
Tennessee,0
Tennycape,0
Tennyson,0
Terence Bay,749
Terence Bay River,0
Terminus,0
Terrace,19443
Terrace Bay,0
Terrace Hill,0
Terra Cotta,0
Terra Nova,0
Terra Nova,0
Terrasse-Bellevue,0
Terrasse-Bigras,0
Terrasse-Campbell,0
Terrasse-de-Luxe,0
Terrasse-des-Pins,4268
Terrasse-Legault,0
Terrasse-Raymond,0
Terrasse-Samson,0
Terrasse-Vaudreuil,0
Terra View Heights,0
Terrebonne,111575
Terrenceville,0
Terre Noire,0
Teslin,0
Tessier,0
Teston,0
Tête-à-la-Baleine,0
Tête Jaune,500
Teulon,0
Teviotdale,0
Texas,0
Thames Road,0
Thamesville,0
The Annex,0
The Beaches,0
The Bluff,0
The Boyne,0
The Bush,0
The Cedars,0
The Delta,0
Thedford,0
The Donovan,0
The Falls,0
The Fort,0
The Front,0
The Glades,0
The Glen,0
The Golden Mile,0
The Gore,0
The Gorge,0
The Grange,0
The Grant,0
The Grove,0
The Gully,0
The Hawk,0
The Island,0
The Junction,0
The Kingsway,0
The Ledge,0
The Lodge,0
The Lookoff,0
The Lots,0
The Maples,0
The Meadows,0
The Narrows,0
The Ninth,0
Theodore,0
The Outlet,0
The Pas,5513
The Pines,0
The P Patch,0
The Range,0
Theresa,0
The Ridge,0
The Ridge,0
Therien,0
The Rollway,0
The Sixth,0
The Slash,0
Thessalon,1175
The Tannery,0
Thetis Island,0
Thibeault Terrace,0
Thibeauville,0
Thicket Portage,0
Thistle,0
Thistletown,0
Thode,0
Thomaston Corner,0
Thomasville,0
Thompson,13678
Thompson Corner,0
Thompsonville,0
Thomson Station,0
Thorah Beach,0
Thorah Island,0
Thorburn,0
Thorel House,0
Thorhild,0
Thornby,0
Thorncliffe,0
Thorncliffe,0
Thorncrest Village,0
Thorndale,0
Thorne Centre,0
Thorne Lake,0
Thornetown,0
Thornhill,0
Thornhill,0
Thornhill,0
Thornloe,0
Thornyhurst,0
Thorold,18801
Thorold Park,0
Thorold South,0
Thorpe,0
Thorsby,0
Thorton Woods,0
Thrasher's Corners,0
Three Brooks,0
Three Fathom Harbour,0
Three Hills,3051
Three Mile Plains,0
Throoptown,0
Thrums,0
Thunder Bay,0
Thunder Bay,108843
Thunder River,0
Thurso,2476
Thwaites,0
Tiblemont,0
Ticehurst Corners,0
Tichborne,0
Tiddville,0
Tidnish,0
Tidnish Bridge,0
Tidnish Bridge,0
Tignish,744
Tignish Shore,0
Tilbury,0
Tilley,0
Tilley,0
Tillicum,10080
Tillsonburg,18615
Tilt Cove,4
Tilting,0
Timberlea,5627
Timberlea Trail,0
Timber River,0
Timmins,41788
Tintagel,0
Tintern,0
Tiny,0
Tioga,0
Tionaga,0
Tisdale,2862
Tittle Road,0
Titusville,0
Tiverton,0
Tiverton,0
Tlell,180
Toanche,0
Tobacco Lake,0
Tobermory,1427
Tobin Lake,0
Todds Island,0
Tofield,1911
Togo,0
Toimela,0
Tollendal,0
Tolmie,0
Tolmies Corners,0
Tolsta,0
Tomelin Bluffs,0
Tomifobia,0
Tomiko,0
Tomkinsville,0
Tompkins,114
Tompkins,0
Tomstown,0
Toney Mills,0
Toney River,0
Tonkin,0
Topcliff,0
Topley,80
Topley Landing,0
Topping,0
Topsail,0
Torbay,3097
Tor Bay,0
Torbrook,0
Torbrook East,0
Torbrook Mines,0
Torbrook West,0
Tormore,0
Torquay,0
Torrance,0
Torryburn,0
Tors Cove,377
Tottenham,5143
Totzke,0
Tourelle,0
Tower Estates,0
Townsend,0
Townsend Centre,0
Toyes Hill,0
Tracadie,0
Tracy,0
Tracyville,0
Traders Cove,707
Trafalgar,0
Trafalgar Heights,0
Trail,7920
Tralee,0
Tramore,0
Tramping Lake,0
Tranquility,0
Tranquille,0
Transcona,0
Transcona,0
Traverston,0
Travor Road,0
Traynor,0
Traytown,0
Treadwell,0
Trecastle,0
Tree Farm,0
Tregarva,0
Treherne,0
Tremont,0
Trenche,0
Trend Village,0
Trenholm,0
Trent Hills,0
Trenton,0
Trenton,0
Trepassey,0
Très-Saint-Rédempteur,863
Très-Saint-Sacrement,0
Trevelyan,0
Tribune,0
Trinity,0
Trinity,0
Trinity Valley,0
Triple Bay Park,0
Tripp Settlement,0
Triton,0
Triwood,0
Trochu,0
Trois-Lacs,0
Trois-Rives,0
Trois-Rivières,119693
Trois-Ruisseaux,0
Trout Brook,0
Trout Creek,0
Trout Creek,0
Trout Lake,0
Trout Lake,0
Trout Mills,0
Trout River,0
Trout River,0
Trowbridge,0
Troy,0
Troy,0
Truax,0
Trudeau,0
Truemanville,0
Truro,12261
Truro Heights,0
Tryon Settlement,0
Tsiigehtchic,0
Tubbs Corners,0
Tuberose,0
Tufts Cove,0
Tuftsville,0
Tugaske,0
Tuktoyaktuk,978
Tulameen,200
Tulita,396
Tullamore,0
Tulliby Lake,0
Tumbler Ridge,2454
Tunaville,0
Tunis,0
Tunney's Pasture,0
Tupperville,0
Turbine,0
Turin,0
Turners,0
Turners Corners,0
Turnertown,0
Turner Valley,0
Turriff,0
Turtle Creek,0
Turtleford,0
Turtle Lake,0
Turtle Valley,0
Tusket,0
Tusket Falls,0
Tutela Heights,0
Tuxedo Park,0
Tuxford,0
Tweed,1701
Tweedie Brook,0
Tweedside,0
Tweedside,0
Tweedsmuir,0
Tweedsmuir,0
Twillingate,2121
Twin Elm,0
Twin Falls,0
Two Hills,1352
Two Islands,0
Two Mile,0
Two O'Clock,0
Two Rivers,0
Tyandaga,0
Tyndall,935
Tyndal Road,0
Tynehead,0
Tynemouth Creek,0
Tyner,0
Tyneside,0
Tyne Valley,0
Tyotown,0
Tyrconnell,0
Tyrone,0
Tyrrell,0
Tyvan,0
Tzouhalem,0
Uchi Lake,0
Ucluelet,2066
Udney,0
Uffington,0
Ufford,0
Ullswater,0
Ulverton,0
Umiujaq,0
Underhill,0
Ungers Corner,0
Uniacke,0
Uniacke Hill,0
Union,0
Union Bay,1200
Union Centre,0
Union Corner,0
Union Creek,0
Uniondale,0
Union Hall,0
Union Mills,0
Union Road,0
Union Settlement,0
Union Square,0
Unionville,0
Unity,2475
University,0
University Gardens,0
University Heights,0
University Heights,0
University Park,0
University Park East,0
Uno Park,0
Upham,0
Uphill,0
Uplands,0
Uplands,0
Upper,0
Upper Barnaby,0
Upper Bass River,0
Upper Belleisle,0
Upper Big Tracadie,0
Upper Blackville,0
Upper Blackville Bridge,0
Upper Blandford,0
Upper Branch,0
Upper Brockway,0
Upper Brookfield,0
Upper Brookside,0
Upper Buctouche,0
Upper Burlington,0
Upper Burnside,0
Upper Canard,0
Upper Cape,0
Upper Chelsea,0
Upper China Creek,0
Upper Clarence,0
Upper Clements,0
Upper Clyde River,0
Upper Coverdale,0
Upper Derby,0
Upper Dorchester,0
Upper Dover,0
Upper Durham,0
Upper Dyke Village,0
Upper Economy,0
Upper Falmouth,0
Upper Ferry,0
Upper Fraser,0
Upper Gaspereau,0
Upper Golden Grove,0
Upper Goshen,0
Upper Grand Mira,0
Upper Granville,0
Upper Greenwich,0
Upper Gulf Shore,0
Upper Halfway,0
Upper Hammonds Plains,0
Upper Island Cove,1142
Upper Kempt Head,0
Upper Kemptown,0
Upper Kennetcook,0
Upper Keswick,0
Upper Kingsburg,0
Upper LaHave,0
Upper Lakeville,0
Upper Lawrencetown,0
Upper Leitches Creek,0
Upper Letang,0
Upper Linden,0
Upper Little Ridge,0
Upper Loch Lomond,0
Upper Malagash,0
Upper Margaree,0
Upper Maugerville,0
Upper Middle River,0
Upper Midland,0
Upper Mills,0
Upper Mills,0
Upper Mount Thom,0
Upper Musquodoboit,0
Upper Napan,0
Upper Nappan,0
Upper New Cornwall,0
Upper New Harbour,0
Upper New Horton,0
Upper Nine Mile River,0
Upper Northfield,0
Upper North River,0
Upper North Sydney,0
Upper Ohio,0
Upper Onslow,0
Upper Point de Bute,0
Upper Pomquet,0
Upper Port La Tour,0
Upper Queensbury,0
Upper Rawdon,0
Upper Rexton,0
Upper Ridge,0
Upper River Denys,0
Upper Rockport,0
Upper Sackville,0
Upper Sackville,0
Upper Saint-Maurice,0
Upper Salt Springs,0
Upper Smithfield,0
Upper Southampton,0
Upper South River,0
Upper Springfield,0
Upper Stewiacke,0
Upper Stoneridge,0
Upper Tantallon,0
Upperton,0
Upper Tower Hill,0
Upper Tracy,0
Upper Vaughan,0
Upper Wards Creek,0
Upper Washabuck,0
Upper Wedgeport,0
Upper West Pubnico,0
Upper Whitehead,0
Upper Woods Harbour,0
Upsala,0
Uptergrove,0
Upton,0
Urbandale,0
Urbania,0
Uren,0
Urney,0
Ursa,0
Usk,0
Utica,0
Utopia,0
Utopia,0
Utterson,0
Uttoxeter,0
Uxbridge,21176
Vachell,0
Val Albert,0
Valcourt,2451
Val-David,5209
Val-des-Arbres,0
Val-des-Bois,0
Val-des-Bois,0
Val-des-Lacs,0
Val-des-Monts,9539
Val-des-Pins,0
Val-des-Vents,0
Val-d'Or,25541
Val-du-Lac,0
Val-du-Repos,0
Valemount,1052
Valencay,0
Valens,0
Valentia,0
Vale Perkins,0
Valetta,0
Val-Guertin,0
Valhalla Estate,0
Val-Joli,0
Valley,0
Valley Centre,0
Valleycliffe,0
Valley Cross Roads,0
Valleyfield,0
Valleyfield,0
Valley Green Beach,0
Valley Mills,0
Valley Road,0
Valley Road,0
Valleys Corners,0
Valley Station,0
Valleyview,0
Valleyview,1863
Valleyview,0
Valleyview,0
Valleyview North,0
Vallican,0
Val-Limoges,0
Val-Maher,0
Val Marie,126
Val-Martin,0
Val-Morin,2772
Val-Ombreuse,0
Val-Paradis,0
Valparaiso,0
Val Quentin,0
Val Rita,0
Val-Royal,0
Val-Saint-Gilles,0
Val-Viger,0
Van Allens,0
Van Anda,0
Vanastra,0
Vanbrugh,0
Van Bruyssel,0
VanCamp,0
Vancouver,662248
Vandecar,0
Vandeleur,0
Vanderhoof,4346
Vandry,0
Vandura,0
Vanessa,0
Vanguard,0
Van Horne,0
Vanier,17000
Vankleek Hill,0
Vankleek Hill Station,0
Vankoughnet,0
Vanneck,0
Vanscoy,0
Vansickle,0
Vanway,0
Vardy,0
Varency,0
Varennes,20994
Varna,0
Varney,0
Vasey,0
Vassar,0
Vaucluse,0
Vaudreuil-Dorion,25789
Vaudreuil-sur-le-Lac,0
Vaughan,0
Vaughan,0
Vaughan,323103
Vautour,0
Vautrin,0
Vauxhall,1222
Vavenby,700
Vawn,49
Vegreville,5708
Venise,0
Venise-en-Québec,1547
Venn,0
Vennachar,0
Vennachar Junction,0
Venosta,0
Ventry,0
Verchères,4030
Verdun,0
Veregin,0
Vereker,0
Verlo,0
Vermilion,4084
Vermilion Bay,0
Vermilion Chutes,0
Verner,0
Vernet,0
Vernon,40116
Vernon Shores,0
Vernonville,0
Verona,0
Verschoyle,0
Verulam Park,0
Verwood,0
Vesta,0
Vesuvius,100
Veteran,0
Vibank,0
Viceroy,20
Vickers,0
Vickers Heights,0
Victoria,0
Victoria,0
Victoria,0
Victoria,0
Victoria,0
Victoria Beach,0
Victoria Beach,0
Victoria Beach,0
Victoria Beach,0
Victoria Bridge,0
Victoria Corners,0
Victoria Corners,0
Victoria Cove,0
Victoria-Fraserview,31065
Victoria Harbour,0
Victoria Harbour,0
Victoria Heights,0
Victoria Hills,0
Victoria Line,0
Victoria Mills,0
Victoria Mines,0
Victoria Park,0
Victoria Park,0
Victoria Place,0
Victoria Road,0
Victoria Springs,0
Victoria Vale,0
Victoria Park Village,0
Victoriaville,34426
Victory,0
Victory Hill,0
Vidora,0
Vieux-Fort,0
Vieux-Piopolis,0
Vieux-Poste,0
Vieux-Saint-Laurent,0
Viewlake,0
Viewmount,0
View Point,0
View Royal,11575
Vigo,0
Viking,1106
Villagedale,0
Village-des-Arsenault,0
Village-des-Belliveau,0
Village-des-Caron,0
Village-des-Chutes,0
Village-des-Cormier,0
Village-des-Geoffroy,0
Village Lanthier,0
Village-La-Prairie,0
Village Meadows,0
Village-Saint-Augustin,0
Village-Sainte-Croix,0
Village-Saint-Jean,0
Village-Saint-Pierre,0
Village-sur-le-Lac,0
Village-Villeneuve,0
Villa Nova,0
Villebois,0
Ville-Marie,2831
Villemontel,0
Villette,0
Villiers,0
Vilna,0
Vimy,0
Vimy Ridge,0
Vine,0
Vinegar Hill,0
Vinegar Hill,0
Vinegar Hill,0
Vineland,4074
Vineland Station,0
Vinemount,0
Vinette,0
Vinsulla,0
Vinton,0
Violet,0
Violet Hill,0
Virden,3114
Virgil,2937
Virgin Arm-Carter's Cove,615
Virginia,0
Virginia East,0
Viscount,0
Viscount Alexander Park,0
Vista Heights,0
Vita,0
Vivian,0
Vivian,0
Voglers Cove,0
Vonda,0
Vosburg,0
Vroomanton,0
Vulcan,1917
Vydon Acres,0
Vyner,0
Waasis,0
Waba,0
Wabamun,0
Wabana,2146
Waban Aki,0
Wabasca-Desmarais,0
Wabash,0
Wabash,0
Wabassee,0
Wabigoon,0
Wabi-Kon,0
Wabos,0
Wabowden,0
Wabush,1964
Waco,0
Waddington Beach,0
Wade Corners,0
Wadena,1306
Wade's Landing,0
Wadhams,0
Wagarville,0
Wagner,0
Wagram,0
Wahawin,0
Wahwashkesh,0
Wainwright,6270
Waiparous,0
Waitville,0
Wakaw,0
Wakaw Lake,66
Wakefield,2000
Wakefield,0
Waldeck,0
Waldeck,0
Waldeck East,0
Waldeck West,0
Waldegrave,0
Waldemar,0
Walden,0
Walden,0
Walden Place,0
Waldheim,1237
Waldron,0
Walhachin,0
Walkers,0
Walkers,0
Walker Settlement,0
Walkers Point,0
Walkerville,0
Walker Woods,0
Wallace,0
Wallace,0
Wallace,0
Wallace Bay,0
Wallace Bridge,0
Wallaceburg,0
Wallace Cove,0
Wallace Grant,0
Wallace Heights,0
Wallace Heights,0
Wallace Highlands,0
Wallace Point,0
Wallace Ridge,0
Wallace River,0
Wallace Station,0
Wallbrook,0
Wallenstein,0
Walls,0
Walnut,0
Walpole,0
Walsh,0
Walsh Acres,0
Waltham,0
Walton,0
Wamsley,0
Wanda,0
Waneeta Beach,0
Waneta Junction,0
Wanup,0
Wapella,0
Warburg,0
Warburton,0
Ward Corner,0
Warden,0
Wardner,0
Wards Brook,0
Wards Creek,0
Ward's Island,0
Ware,0
Wareham,0
Warfield,1753
Warina,0
Warings Corner,0
Warman,10961
Warminster,0
Warner,0
Warner,0
Warren,0
Warren,0
Warren,818
Warren Grove,0
Warren Landing,0
Warsaw,0
Wartburg,0
Wartime,0
Warwick,4766
Warwick Mountain,0
Warwick Settlement,0
Wasa,0
Wasaga Beach,20675
Wasagaming,33
Waseca,0
Washademoak,0
Washagami,0
Washago,0
Washburn,0
Washburns Corners,0
Washington,0
Washington Park,0
Wasing,0
Waskada,0
Waskaganish,1839
Waskaganish,0
Waskatenau,0
Waswanipi,0
Waswanipi,1473
Watabeag,0
Watcomb,0
Waterborough,0
Watercombe,0
Waterdown,0
Waterfall,0
Waterford,0
Waterford,0
Waterford,3132
Waterloo,0
Waterloo,4410
Waterloo,104986
Waternish,0
Waterside,0
Waterside,0
Waterton,0
Waterton,88
Watervale,0
Waterville,0
Waterville,0
Watford,0
Watford,1536
Watino,0
Watrous,1865
Watson,0
Watson Lake,1547
Watterson Corners,0
Watt Junction,0
Watt Section Sheet Harbour,0
Waubamik,0
Waubaushene,0
Waubuno,0
Wauchope,0
Waudby,0
Waugh,0
Waughs River,0
Waupoos,0
Waupoos East,0
Waupoos Island,0
Wavecrest,0
Wavell,0
Waverley,813
Waverley,0
Waverly Beach,0
Wawa,2905
Wawanesa,0
Wawbewawa,0
Waweig,0
Wawota,0
Wayne,0
Way's Mills,0
Weaver Settlement,0
Weaver Siding,0
Webb,0
Webbwood,0
Websters Corners,0
Websterville,0
Wedgeport,0
Wedgewood,0
Weedon,0
Weedon,0
Weekes,0
Weeks Road,0
Wee Too Beach,0
Weidmann,0
Weir,0
Weirdale,0
Weisbord Acres,0
Weissenburg,0
Welbeck,0
Welch Cove,0
Welcome,0
Weldfield,0
Weldon,0
Weldon,0
Weldon,0
Welland,52293
Welland South,0
Wellburn,0
Weller,0
Weller Park,0
Wellesley,3246
Wellesley Park,0
Wellington,0
Wellington,0
Wellington,0
Wellington,0
Wellington,0
Wellington Station,0
Wellington Station,0
Wellman,0
Wells,218
Welsford,0
Welsford,0
Welsford,0
Welshpool,0
Weltons Corner,0
Welwyn,0
Wembley,1516
Wemindji,0
Wemyss,0
Wendake Beach,0
Wendigo Lake,0
Wentworth,0
Wentworth Centre,0
Wentworth Creek,0
Wentworth-Nord,0
Wentworth Station,0
Wentworth Valley,0
Wentzells Lake,0
Weslemkoon,0
Wesley,0
Wesley,0
Wesley Corners,0
Wesleyville,0
Wesleyville,0
West Advocate,0
West Alba,0
West Amherst,0
West Apple River,0
West Arichat,0
West Arm,0
West Arm Tracadie,0
West Baccaro,0
Westbank,0
West Baptiste,0
West Bay,0
West Bay Centre,0
West Bay Road,0
West Becher,0
West Bench,0
West Berlin,0
Westboro,0
Westbourne,0
West Branch,0
West Branch River John,0
West Brant,0
West Brome,0
West Brook,0
Westbrook Heights,0
West Brooklyn,0
West Caledonia,0
Westchester Station,0
Westchester Valley,0
West Chezzetcook,0
Westcliffe Estates,0
West Clifford,0
Westcock,0
West Collette,0
West Cooks Cove,0
West Corners,0
West Cove,0
Westdale,0
West Dalhousie,0
West Deane Park,0
West Dover,0
West Dublin,0
West Earltown,0
West East River,0
West End,0
West End,0
West Erinville,0
Westerly,0
Western Bay,0
Western Head,0
Western Head,0
Western Monarch,0
Western Shore,0
West Essa,0
Westfield,0
Westfield,0
Westfield Beach,0
West Flamborough,0
Westford,0
West Franklin,0
West Galloway,0
West Glenmont,0
West Gore,0
West Green Harbour,0
West Guilford,0
West Halls Harbour Road,0
West Hansford,0
West Havre Boucher,0
West Head,0
Westheath,0
West Heights,0
Westholme,0
West Humber Estates,0
West Huntingdon,0
West Indian Road,0
West Inglisville,0
West Intervale,0
West Jeddore,0
West LaHave,0
West Lake,0
West Lake Ainslie,0
West Lakevale,0
West Lawrencetown,0
West Lawrencetown,0
West Leicester,0
West Linden,0
West Linwood,0
West Liscomb,0
West Lochaber,0
Westlock,4678
West Lorne,1337
West Lynde,0
West McGillivray,0
West Middle River,0
West Middle Sable,0
West Midway,0
Westminster,0
Westminster,0
West Montrose,0
Westmore,0
Westmorland Heights,0
Westmount,0
Westmount,20494
Westmount,0
Westmount,0
Westmount,0
Westmount,0
Westmount,0
Westmount,0
Westmount,0
West New Annan,0
West Nipissing,14583
West Northfield,0
Weston,0
West Osgoode,0
Westover,0
West Paradise,0
West Park,0
West Petpeswick,0
Westphal,0
Westplain,0
Westport,0
Westport,0
Westport,0
West Pubnico,0
West Pugwash,0
West Quaco,0
West Quoddy,0
Westree,0
Westridge,2521
West River,0
West River,0
West River,0
West River,0
West Riverside,0
West River Station,0
West Riverview,0
West Roachvale,0
West Sackville,0
West Scotch Settlement,0
West Sheet Harbour,0
West Springhill,0
West St. Modeste,0
West Sutton,0
